ProdSalesCode,p,d,q,P,D,Q,M
05055000CA_2385,1,0,3,3,0,1,6
05055000CA_2431,1,0,1,2,1,1,9
05730303CE_1015,1,0,3,3,0,3,3
05730303CE_1019,2,0,1,1,1,1,9
05730303CE_1038,2,1,3,1,1,3,6
05730303CE_1216,2,1,3,3,0,2,12
05730303CE_1252,3,1,2,2,1,3,6
05730303CE_1328,2,0,1,2,0,3,0
05730303CE_1480,2,1,2,3,1,1,12
05730303CE_2065,3,1,3,2,1,2,3
05730303CE_2220,3,0,1,2,1,2,6
05730303CE_2373,1,1,2,3,1,1,12
05730303CE_2378,2,0,1,2,0,2,6
05730303CE_3990,2,1,1,1,1,2,3
05730303CE_8138,1,1,1,3,1,1,3
06437100CA_1019,1,1,2,1,1,1,9
06437100CA_1034,1,1,1,3,0,1,3
06437100CA_1099,3,1,3,2,1,1,12
06437100CA_1216,1,0,3,3,0,1,3
06437100CA_1230,1,0,2,3,1,2,12
06437100CA_1259,1,1,2,2,1,1,6
06437100CA_1986,1,0,1,2,0,2,3
06437100CA_2059,2,0,2,1,1,3,3
06437100CA_2062,1,0,3,1,0,2,0
06437100CA_2065,3,0,1,1,0,1,6
06437100CA_2107,1,1,3,2,1,2,3
06437100CA_2137,2,0,2,3,0,2,6
06437100CA_2169,1,0,1,1,0,1,3
06437100CA_2308,3,0,3,2,1,2,9
06437100CA_2337,2,1,2,2,0,2,12
06437100CA_2378,2,0,3,3,0,2,9
06437100CA_3970,1,0,2,1,0,2,3
06437100CA_7302,3,0,1,1,0,3,3
06437100CA_8141,2,0,3,2,1,1,12
06442106CA_0000,3,0,2,1,0,2,12
06442106CA_1006,2,0,3,3,1,1,9
06442106CA_1015,2,0,3,2,1,1,3
06442106CA_1034,1,1,3,2,0,2,3
06442106CA_1038,3,0,2,1,1,1,12
06442106CA_1081,3,1,2,3,1,1,9
06442106CA_1099,3,1,3,2,1,2,3
06442106CA_1105,2,0,3,2,1,1,12
06442106CA_1213,3,1,1,2,1,1,12
06442106CA_1216,3,1,2,2,0,2,3
06442106CA_1224,3,1,3,1,0,2,3
06442106CA_1230,1,1,1,1,0,1,0
06442106CA_1252,3,1,3,3,0,2,0
06442106CA_1259,2,0,3,3,1,3,3
06442106CA_1274,1,0,2,3,0,2,0
06442106CA_1329,1,0,3,2,0,2,3
06442106CA_1601,1,0,2,2,0,2,12
06442106CA_1948,3,1,2,1,0,2,12
06442106CA_2059,3,0,1,1,0,1,12
06442106CA_2062,1,1,3,3,1,1,3
06442106CA_2065,1,1,3,3,0,3,6
06442106CA_2071,1,1,3,1,1,3,3
06442106CA_2090,3,0,3,1,1,2,12
06442106CA_2094,2,1,3,3,1,2,12
06442106CA_2107,1,0,1,2,1,1,9
06442106CA_2137,2,0,3,3,1,2,9
06442106CA_2153,3,0,2,2,1,1,9
06442106CA_2168,3,0,3,2,0,2,0
06442106CA_2179,2,0,3,1,1,2,6
06442106CA_2183,1,1,2,3,0,1,12
06442106CA_2193,1,0,3,2,1,2,6
06442106CA_2197,3,0,2,3,0,2,9
06442106CA_2220,3,0,3,1,0,1,9
06442106CA_2233,3,0,3,2,0,2,3
06442106CA_2245,3,0,2,3,0,3,9
06442106CA_2263,3,0,1,1,1,1,9
06442106CA_2279,2,1,1,2,1,1,3
06442106CA_2293,2,0,3,1,1,1,12
06442106CA_2303,3,0,2,3,0,3,6
06442106CA_2308,3,0,1,2,0,1,12
06442106CA_2337,2,0,3,1,1,2,12
06442106CA_2339,2,0,3,2,1,2,12
06442106CA_2340,1,1,2,2,1,2,12
06442106CA_2352,2,0,2,2,1,3,3
06442106CA_2354,1,0,2,2,0,2,9
06442106CA_2358,3,0,3,1,0,2,6
06442106CA_2367,2,1,1,3,1,1,12
06442106CA_2371,3,0,3,1,0,2,6
06442106CA_2372,3,1,3,3,1,1,3
06442106CA_2378,1,1,3,3,1,1,12
06442106CA_2396,3,1,1,3,0,1,3
06442106CA_2406,1,1,1,3,0,3,9
06442106CA_2410,3,0,1,3,1,1,12
06442106CA_3970,2,0,2,3,1,2,6
06442106CA_4040,1,0,2,3,1,3,3
06442106CA_4054,1,0,1,2,0,3,3
06442106CA_7302,3,0,3,1,0,3,6
06442106CA_8147,3,0,1,2,0,3,9
06442106CA_8184,1,0,1,1,0,1,0
06460003AO_1015,1,1,1,3,1,1,6
06460003AO_1099,3,1,3,1,1,3,3
06460003AO_1707,1,1,1,1,1,2,6
06460003AO_2062,1,1,2,3,1,2,6
06460003AO_2235,3,0,1,2,1,2,12
06460003CA_1015,1,0,1,2,1,3,6
06460003CA_1034,3,0,3,2,0,1,6
06460003CA_1099,2,0,1,1,0,1,0
06460003CA_1216,1,0,1,1,1,3,6
06460003CA_1274,2,0,1,1,0,2,12
06460003CA_1707,3,0,3,2,1,1,12
06460003CA_1987,2,0,3,1,0,1,0
06460003CA_2059,1,0,3,1,0,3,9
06460003CA_2062,1,1,3,3,0,2,3
06460003CA_2065,1,1,3,3,0,3,9
06460003CA_2107,3,0,2,3,1,2,12
06460003CA_2137,1,1,2,1,1,2,12
06460003CA_2220,3,0,2,2,1,2,12
06460003CA_2261,2,0,1,1,1,2,12
06460003CA_2306,2,0,2,3,0,2,12
06460003CA_2339,3,1,1,2,0,2,9
06460003CA_3973,1,0,2,3,0,1,9
06460003CA_3997,1,0,2,3,0,1,9
06460B07CA_1015,3,0,3,2,0,1,6
06460B07CA_1099,2,1,1,3,1,1,9
06460B07CA_1707,2,0,3,3,1,1,12
06460B07CA_1818,3,0,2,1,1,3,3
06460B07CA_2020,3,1,3,3,0,2,9
06460B07CA_2062,3,1,3,1,1,2,12
06460B07CA_2065,3,0,1,3,0,2,0
06460B07CA_2107,1,0,3,3,1,2,3
06460B07CA_2235,3,1,2,3,1,2,12
06460B07CA_2261,2,1,3,3,1,1,6
06460B07CA_2308,2,0,2,1,1,2,9
06460B07CA_2417,2,0,1,2,0,2,3
06460B07CA_3973,3,1,3,2,0,1,9
06463104CA_1038,2,0,3,3,1,1,12
06463104CA_1274,1,0,2,2,0,2,6
06463104CA_2062,2,0,3,1,0,3,0
06463104CA_2107,1,1,2,3,0,2,12
06463104CA_2182,3,0,3,3,0,1,0
06463104CA_2220,1,0,2,3,1,2,9
06463104CA_2339,2,0,3,1,0,1,12
06463104CA_2354,2,1,1,3,1,3,3
06463104CA_2378,3,1,2,3,1,2,12
06463104CA_2406,3,1,3,2,1,2,12
06463104CA_2410,1,0,3,3,1,3,3
06463104CA_4040,3,1,3,2,1,3,3
06810107CA_0000,2,0,2,1,1,1,12
06810107CA_1015,2,1,3,1,1,2,12
06810107CA_1034,2,0,2,3,1,1,9
06810107CA_1038,2,1,1,2,0,3,3
06810107CA_1047,3,1,3,3,0,2,3
06810107CA_1078,1,1,3,1,1,1,12
06810107CA_1099,2,1,3,2,1,1,6
06810107CA_1213,1,1,1,2,0,1,3
06810107CA_1216,1,0,3,3,1,2,12
06810107CA_1230,1,1,2,3,1,2,3
06810107CA_1235,1,1,3,3,1,1,12
06810107CA_1259,1,0,1,1,1,3,3
06810107CA_1289,3,1,3,2,1,3,3
